ZCTA5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON,Total Area in Sq Mi,Lat-top,Long-left,Lat-bottom,Long-right
15290,103613,0,0.04,0.00,0,0,40.457329,-80.019294,0.04,40.458778,-80.020397,40.455880,-80.018191
15301,315753777,714279,121.91,0.28,"49,331","22,432",40.153494,-80.253464,122.19,40.233595,-80.314687,40.073393,-80.192241
15310,48030870,0,18.54,0.00,290,170,39.792724,-80.482197,18.54,39.823930,-80.506174,39.761518,-80.458220
15311,60948591,0,23.53,0.00,"1,391",567,40.045913,-80.183933,23.53,40.081065,-80.210843,40.010761,-80.157023
15312,194179227,73576,74.97,0.03,"3,579","1,556",40.251528,-80.440702,75.00,40.314284,-80.488598,40.188772,-80.392806
15313,1817018,0,0.70,0.00,377,175,40.067960,-80.023705,0.70,40.074029,-80.028350,40.061891,-80.019060
15314,44816312,44563,17.30,0.02,"3,788","1,796",40.146306,-80.016809,17.32,40.176464,-80.039862,40.116148,-79.993756
15315,3425858,0,1.32,0.00,776,348,39.758289,-79.982684,1.32,39.766623,-79.989091,39.749955,-79.976277
15316,1022410,729,0.39,0.00,131,52,39.724269,-80.252412,0.40,39.728823,-80.255915,39.719715,-80.248909
15317,118423624,893051,45.72,0.34,"36,535","15,514",40.277948,-80.175055,46.07,40.327132,-80.212578,40.228764,-80.137532
15320,100570880,858886,38.83,0.33,"5,384","2,480",39.876232,-79.990265,39.16,39.921580,-80.025066,39.830884,-79.955464
15321,2823159,0,1.09,0.00,"1,676",717,40.323357,-80.187945,1.09,40.330923,-80.193713,40.315791,-80.182177
15322,36779910,145784,14.20,0.06,"2,018",938,39.981643,-80.053364,14.26,40.009004,-80.074330,39.954282,-80.032398
15323,179028967,32643,69.12,0.01,"4,542","1,916",40.112251,-80.405659,69.14,40.172503,-80.451739,40.051999,-80.359579
15324,995303,0,0.38,0.00,632,333,40.100777,-80.065715,0.38,40.105269,-80.069151,40.096285,-80.062279
15325,626186,0,0.24,0.00,439,194,39.949429,-79.963374,0.24,39.952992,-79.966105,39.945866,-79.960643
15327,51486321,767986,19.88,0.30,"1,527",664,39.744871,-79.960854,20.18,39.777420,-79.985881,39.712322,-79.935827
15329,105015222,72762,40.55,0.03,"1,709",731,40.027715,-80.279927,40.57,40.073873,-80.315272,39.981557,-80.244582
15330,116598464,63766,45.02,0.02,"5,299","2,264",40.179368,-80.089973,45.04,40.228002,-80.127131,40.130734,-80.052815
15331,1972370,43216,0.76,0.02,"1,090",522,40.105350,-80.022571,0.78,40.111743,-80.027460,40.098957,-80.017682
15332,70637742,475678,27.27,0.18,"8,148","3,764",40.240185,-79.993501,27.46,40.278156,-80.022486,40.202214,-79.964516
15333,35710221,235084,13.79,0.09,"2,150",989,40.030787,-80.013210,13.88,40.057783,-80.033881,40.003791,-79.992539
15334,4910845,0,1.90,0.00,113,47,39.808312,-79.967895,1.90,39.818290,-79.975560,39.798334,-79.960230
15337,82659832,15730,31.92,0.01,744,320,39.952162,-80.378188,31.92,39.993103,-80.409573,39.911221,-80.346803
15338,48235683,1429017,18.62,0.55,"1,606",735,39.784864,-79.991515,19.18,39.816596,-80.015899,39.753132,-79.967131
15340,40023010,0,15.45,0.00,"1,469",631,40.283226,-80.317491,15.45,40.311712,-80.339222,40.254740,-80.295760
15341,127441990,19674,49.21,0.01,869,451,39.824200,-80.343863,49.21,39.875035,-80.382905,39.773365,-80.304821
15342,8654913,0,3.34,0.00,"4,818","2,273",40.244231,-80.221186,3.34,40.257478,-80.231297,40.230984,-80.211075
15344,37099411,7069,14.32,0.00,"1,450",684,39.915747,-80.061424,14.33,39.943175,-80.082461,39.888319,-80.040387
15345,50262601,0,19.41,0.00,"1,642",799,40.022623,-80.105047,19.41,40.054545,-80.129493,39.990701,-80.080601
15346,2351768,0,0.91,0.00,749,318,39.935438,-80.075344,0.91,39.942343,-80.080639,39.928533,-80.070049
15347,1563588,0,0.60,0.00,582,288,40.220317,-80.221104,0.60,40.225947,-80.225403,40.214687,-80.216805
15348,420084,173531,0.16,0.07,283,131,39.986895,-79.995437,0.23,39.990364,-79.998095,39.983426,-79.992779
15349,100005067,65355,38.61,0.03,"1,737",804,39.762442,-80.093949,38.64,39.807485,-80.128573,39.717399,-80.059325
15350,137216,0,0.05,0.00,425,210,40.293306,-80.200808,0.05,40.294974,-80.202080,40.291638,-80.199536
15351,2826250,340949,1.09,0.13,901,412,39.884463,-79.924327,1.22,39.892476,-79.930476,39.876450,-79.918178
15352,128817942,19794,49.74,0.01,987,485,39.752215,-80.382774,49.74,39.803324,-80.422067,39.701106,-80.343481
15353,153322,0,0.06,0.00,64,26,39.962124,-80.310954,0.06,39.963887,-80.312305,39.960361,-80.309603
15357,20829600,1103023,8.04,0.43,"1,661",724,39.941608,-79.980409,8.47,39.962695,-79.996576,39.920521,-79.964242
15358,2189670,0,0.85,0.00,923,402,40.055388,-80.003007,0.85,40.062051,-80.008107,40.048725,-79.997907
15359,367728,0,0.14,0.00,174,78,39.876488,-80.275766,0.14,39.879218,-80.277861,39.873758,-80.273671
15360,66293831,0,25.60,0.00,"1,731",750,40.084912,-80.082379,25.60,40.121573,-80.110428,40.048251,-80.054330
15361,245813,0,0.09,0.00,151,68,40.329012,-80.258411,0.09,40.331244,-80.260113,40.326780,-80.256709
15362,67042845,111229,25.89,0.04,767,347,39.772465,-80.213926,25.93,39.809363,-80.242286,39.735567,-80.185566
15363,597928,0,0.23,0.00,760,351,40.251799,-80.198050,0.23,40.255281,-80.200707,40.248317,-80.195393
15364,96370936,30141,37.21,0.01,869,368,39.946322,-80.304781,37.22,39.990531,-80.338674,39.902113,-80.270888
